time,AcX,AcY,GyZ
485,132,-292,-251
506,640,-480,-303
527,764,444,-72
548,1584,-820,711
570,1412,-1780,229
590,820,-844,-242
650,948,-584,-246
671,936,-332,-494
693,1160,-1088,-427
713,664,-964,-397
735,468,-352,-327
756,676,-508,-331
777,1160,-1104,-765
798,964,-652,-1207
820,128,-860,-420
841,828,-468,-460
862,900,-988,-486
883,836,-620,-485
905,736,-924,-515
925,676,-392,-500
947,604,-868,-485
968,1040,-764,-445
989,920,-760,-451
1010,700,-704,-426
1032,1024,-748,-432
1052,968,-656,-453
1115,808,-780,-376
1136,676,-624,-367
1157,636,-740,-329
1178,348,-1100,-198
1200,1116,-920,-295
1221,920,-456,-224
1242,340,-788,-188
1263,1056,200,-130
1285,984,-976,-139
1305,1064,-840,-186
1327,-112,24,-192
1348,1364,-1056,-160
1370,876,28,-149
1390,740,-596,-148
1412,968,-972,-297
1433,1132,-768,-124
1454,1040,-940,-167
1475,432,-540,-127
1497,752,-488,-100
1518,944,-904,-76
1576,872,-892,-17
1597,848,-880,-13
1618,804,-900,53
1640,1172,-1548,24
1660,948,-1528,72
1682,600,-636,39
1718,612,-1000,30
1739,832,-1268,-316
1761,864,-140,1
1781,900,-636,39
1803,760,-1020,-12
1824,912,-896,-47
1845,956,-968,-54
1866,896,-836,-104
1888,932,-928,-159
1908,724,-1108,-203
1930,800,-684,-232
1951,924,-1244,-262
1973,1020,-888,-365
1993,704,-1020,-388
2053,700,-380,-412
2073,848,-740,-407
2095,884,-804,-369
2116,896,-664,-377
2137,972,-872,-351
2158,652,-664,-363
2180,852,-712,-339
2200,900,-748,-325
2222,572,-740,-325
2243,616,-656,-322
2265,576,-628,-333
2285,544,-608,-294
2310,856,-420,-307
2331,708,-524,-285
2353,612,-664,-257
2373,704,-596,-239
2395,632,-616,-244
2416,768,-708,-209
2437,764,-548,-185
2458,676,-628,-198
2516,836,-584,-141
2538,732,-584,-136
2560,696,-640,-122
2581,692,-520,-106
2601,844,-652,-106
2623,716,-520,-99
2644,520,-436,-46
2665,840,-496,-68
2686,864,-600,-49
2708,776,-556,-48
2728,932,-724,-44
2750,712,-660,1
2771,764,-336,10
2792,1168,-568,42
2813,836,-328,63
2834,940,-860,65
2855,616,-564,102
2877,732,-660,79
2913,748,-748,71
2934,780,-644,88
2993,768,-560,56
3013,800,-628,56
3035,392,-324,89
3055,848,-728,58
3077,892,-612,78
3098,776,-692,58
3119,876,-680,61
3140,736,-640,61
3162,1004,-560,86
3182,928,-732,59
3204,660,-664,61
3224,824,-712,60
3246,944,-892,52
3267,872,-860,57
3288,404,-728,87
3309,868,-836,127
3331,504,-800,153
3351,1208,-164,136
3373,836,-740,193
3394,1060,-728,223
3452,752,-1208,274
3474,804,-892,317
3494,976,-1124,314
3516,644,-808,339
3537,636,-912,376
3558,452,-652,377
3582,772,-672,399
3604,844,-1072,368
3624,960,-744,399
3646,884,-604,395
3667,820,-660,421
3688,872,-868,398
3709,1032,-1224,379
3743,2472,-1528,350
3764,984,-936,398
3785,840,-996,401
3807,832,-1184,403
3827,952,-1012,403
3849,788,-964,369
3870,796,-700,368
3929,812,-684,337
3950,576,-660,352
3971,552,-632,300
3992,660,-700,333
4014,692,-552,329
4034,900,-652,295
4056,796,-600,302
4077,892,-856,292
4098,884,-920,283
4119,980,-512,240
4141,848,-696,272
4173,920,-796,233
4198,840,-672,257
4218,864,-648,200
4240,764,-660,185
4261,864,-648,197
4282,712,-712,216
4303,888,-616,179
4324,852,-688,178
4345,788,-640,185
4404,908,-608,132
4424,832,-676,118
4446,776,-668,123
4467,840,-584,123
4488,908,-636,87
4509,880,-648,83
4530,768,-728,61
4551,840,-600,79
4572,844,-608,57
4593,840,-684,65
4615,872,-688,57
4635,832,-796,66
4657,796,-720,72
4677,812,-568,62
4699,700,-640,49
4720,808,-664,64
4741,800,-748,58
4762,800,-696,94
4783,732,-568,54
4804,820,-680,63
4866,876,-652,71
4887,772,-564,70
4908,864,-628,53
4929,768,-724,60
4950,924,-772,47
4971,824,-664,84
4993,920,-640,69
5013,748,-584,58
5035,848,-676,68
5055,816,-684,54
5076,772,-764,78
5098,768,-776,68
5118,780,-700,51
5140,892,-764,55
5161,960,-660,73
5182,828,-680,76
5203,896,-632,58
5224,792,-640,54
5245,768,-668,63
5267,832,-708,61
5324,820,-708,51
5346,764,-732,69
5367,848,-676,66
5400,760,-764,73
5421,824,-608,45
5442,916,-732,79
5464,900,-696,79
5484,844,-636,87
5506,836,-652,54
5524,840,-560,54
5545,720,-720,62
5566,908,-636,50
5587,748,-664,62
5609,920,-668,55
5629,796,-716,60
5651,728,-744,68
5671,724,-696,62
5693,860,-684,45
5714,812,-644,44
5735,788,-596,55
5793,900,-564,57
5815,756,-640,80
5836,824,-708,46
5857,776,-696,67
5878,820,-668,58
5899,784,-716,55
5920,924,-636,58
5942,760,-652,46
5962,848,-744,45
5984,832,-656,66
6005,940,-668,78
6026,780,-604,64
6047,764,-728,82
6068,800,-604,65
6089,884,-700,68
6111,772,-632,60
6131,836,-628,56
6156,792,-560,56
6177,860,-652,58
6198,896,-800,58
6256,804,-692,61
6278,832,-644,64
6298,848,-632,42
6320,800,-652,71
6340,908,-644,39
6362,808,-632,60
6382,948,-688,44
6404,864,-656,53
6425,844,-644,78
6446,780,-656,82
6467,928,-652,62
6488,876,-680,53
6509,824,-672,81
6531,884,-672,84
6551,828,-716,60
6573,812,-660,78
6605,840,-692,58
6627,868,-688,74
6647,900,-684,64
6669,816,-660,71
6727,752,-720,64
6749,912,-700,72
6769,768,-672,57
6791,700,-692,57
6811,744,-736,66
6836,836,-616,49
6857,732,-716,55
6878,808,-700,49
6899,820,-648,44
6921,844,-732,58
6941,848,-676,83
6963,904,-696,76
6983,856,-632,66
7005,916,-660,76
7026,824,-612,85
7047,772,-684,66
7068,840,-800,57
7089,824,-640,76
7110,824,-748,59
7132,844,-796,49
7189,768,-684,68
7211,22444,5304,247
25365,696,-204,47
25385,680,-724,64
25407,708,-812,78
25427,776,-640,77
25449,1164,-1044,69
25470,948,-984,53
25491,888,-820,22
25512,764,-876,19
25533,740,-336,75
25554,1420,-940,-148
25576,616,-136,-192
25601,556,-1632,39
25621,780,344,17
25643,616,108,37
25663,1268,-1844,67
25684,100,228,-69
25706,2980,-2180,13
25726,-2176,-676,-291
25786,956,-88,37
25807,304,-1348,-15
25828,1164,-1664,47
25849,368,-276,55
25871,948,-808,59
25891,548,-416,44
25913,1524,-1460,45
25934,1044,-724,63
time,AcX,AcY,GyZ
443,820,-936,-362
463,592,-488,226
485,448,-936,297
505,524,-828,327
527,888,-792,369
547,812,-868,389
880,2224,2908,148
902,2360,-1904,-238
923,308,-1360,-141
944,628,-700,-137
968,920,-1340,-159
1035,780,-736,-54
1056,808,-756,-47
1078,864,-848,-44
1098,736,-884,-22
1120,808,-804,-33
1140,848,-804,-14
1162,916,-748,25
1183,876,-1140,18
1204,1156,-196,37
1225,1116,-636,55
1246,980,-416,63
1267,708,-920,61
1289,844,-756,64
1309,912,-600,51
1331,712,-516,61
1351,868,-736,51
1373,712,-780,62
1393,772,-624,59
1415,832,-544,55
1436,712,-652,63
1496,812,-660,66
1517,752,-732,54
1538,804,-700,76
1559,840,-628,65
1580,860,-576,62
1601,752,-636,64
1623,736,-664,58
1646,788,-664,57
1668,712,-708,66
1688,772,-624,58
1710,732,-560,69
1731,784,-676,73
1752,776,-776,50
1773,836,-672,54
1794,764,-764,52
1815,768,-636,59
1837,840,-648,85
1857,796,-644,80
1879,768,-676,58
1900,724,-664,63
1957,832,-676,53
1991,812,-708,72
2013,708,-644,65
2033,904,-628,59
2055,788,-712,60
2075,820,-636,63
2097,776,-584,92
2118,660,-688,64
2139,840,-668,52
2160,716,-688,70
2181,720,-688,59
2202,764,-616,56
2224,736,-588,64
2244,784,-592,53
2266,820,-732,59
2289,800,-644,86
2311,732,-628,52
2332,812,-588,52
2353,776,-740,56
2374,940,-648,60
2433,740,-592,60
2454,716,-684,48
2475,748,-632,72
2496,788,-692,66
2516,924,-732,95
2538,744,-700,69
2560,896,-740,53
2580,744,-632,74
2601,652,-724,79
2623,728,-632,56
2643,860,-740,50
2665,800,-584,70
2685,756,-672,78
2707,732,-664,52
2728,856,-664,71
2749,780,-724,50
2770,728,-716,50
2791,804,-624,79
2812,752,-552,70
2834,864,-732,56
2891,900,-640,65
2913,804,-576,62
2934,824,-688,48
2955,876,-664,54
2979,804,-604,67
3001,852,-700,55
3021,776,-644,88
3043,760,-700,75
3063,744,-600,51
3085,848,-708,62
3106,776,-560,45
3127,736,-372,25
3161,892,-780,-14
3181,996,-672,40
3203,744,-712,16
3223,1072,-420,45
3245,656,-800,65
3266,924,-572,65
3287,712,-624,65
3308,884,-764,59
3366,868,-608,62
3388,696,-772,73
3408,768,-640,75
3430,772,-660,64
3450,824,-624,61
3472,816,-772,52
3493,844,-624,58
3514,856,-704,52
3535,772,-608,50
3556,780,-652,74
3577,748,-780,66
3599,720,-608,58
3622,724,-648,64
3644,772,-748,47
3665,972,-636,46
3686,852,-768,54
3707,720,-732,82
3729,972,-644,68
3749,1056,-632,90
3771,556,-532,64
3829,568,-1204,69
3850,704,-576,8
3871,740,-256,47
3892,648,-696,68
3913,760,-904,60
3934,832,-796,65
3955,856,-416,65
3977,756,-708,61
3997,792,-664,51
4019,748,-844,44
4040,236,-276,36
4061,812,-672,60
4082,780,-660,76
4103,1028,-872,83
4124,1488,-968,46
4146,1524,-72,60
4166,-1504,-1060,-39
4188,1672,-536,49
4209,824,-700,23
4230,488,-324,47
4291,1060,-928,-39
4313,360,-568,24
4334,1196,-744,-2
4355,936,-1244,35
4388,688,-560,4
4410,964,-812,-32
4430,1120,-544,-76
4452,1616,-668,-92
4473,776,-72,-51
4494,1248,-436,-97
4515,-184,-1032,-110
4537,784,-1048,-131
4557,568,-308,-182
4579,648,-32,-192
4600,548,-332,-194
4621,620,-428,-147
4642,372,-492,-205
4664,652,-716,-186
4685,628,-852,-169
4706,1384,-720,-229
4764,256,-1084,-209
4786,188,-688,-188
4807,364,-496,-187
4828,952,-672,-133
4849,228,-1216,12
4871,1004,-604,-138
4894,424,-288,-57
4916,304,-448,11
4937,2084,-408,68
4958,356,-252,139
4979,728,-644,120
5000,876,-476,134
5021,-20,-768,133
5043,648,-412,148
5063,2784,-696,60
5085,212,-380,-51
5105,-504,-1300,-212
5127,992,-668,-316
5148,1112,-1224,-350
5170,516,-216,-343
5228,1400,-1340,-497
5250,804,-904,-538
5270,1276,-244,-566
5292,528,-1096,-609
5313,752,-1112,-605
5334,172,-1252,-557
5355,-580,-1408,-734
5377,960,-252,-912
5397,1028,-464,-737
5419,12,-644,-797
5440,268,-944,-605
5462,244,-284,-616
5485,528,-640,-772
5507,736,-296,-751
5528,1120,-584,-566
5550,-568,-1068,-448
5586,-1920,2612,-167
5608,312,-4356,-213
5628,736,1904,-330
5650,500,-1236,-187
5708,552,-556,-500
5730,396,-496,-481
5751,880,-604,-535
5772,480,-496,-514
5793,332,-804,-367
5815,692,-788,-222
5836,336,-1100,-136
5857,292,-296,67
5878,488,-1036,307
5900,304,-1036,-129
5920,172,-596,134
5942,-32,-1368,299
5963,948,-1340,112
5984,772,-424,523
6005,1272,-1340,547
6027,468,-308,672
6047,-104,-872,644
6072,516,-1288,549
6093,852,-1028,444
6114,1488,-576,342
6173,424,-1200,70
6194,960,-1148,5
6215,592,-1128,-71
6237,12,-1480,-76
6257,200,-1264,-153
6279,1256,-2016,-295
6300,356,-856,-244
6321,-64,-836,-155
6342,528,-716,45
6364,1020,-900,253
6384,964,-1824,342
6406,256,-1092,476
6427,324,-752,504
6449,396,-556,635
6469,384,-516,765
6491,412,-468,845
6511,40,-2256,965
6533,884,-732,1075
6554,1104,-532,1139
6575,916,-1516,1135
6634,716,-952,991
6654,312,-496,861
6676,872,-1096,698
6701,-44,-1260,502
6722,460,-1352,495
6743,928,-824,392
6764,992,-1652,160
6786,544,-1196,61
6818,460,-1376,-82
6840,448,-1260,-16
6861,44,-1292,63
6882,440,-764,176
6903,516,-636,208
6924,36,-992,268
6945,524,-1000,304
6967,620,-1088,286
6987,576,-868,250
7009,492,-1104,239
7030,724,-988,223
7051,636,-964,176
7110,432,-680,209
7131,112,-904,164
7152,740,-1088,189
7174,-800,-76,5
7194,3312,-1164,90
7216,1108,-1128,11
7237,484,-792,-83
7258,628,-1056,-133
7279,692,-984,-119
7304,684,-852,-91
7324,472,-1244,-56
7346,476,-876,-2
7367,516,-732,68
7388,924,-1148,76
7409,648,-1540,49
7430,832,-604,48
7451,440,-1148,48
7473,320,-1256,6
7493,292,-856,-10
7515,952,-1232,-26
7573,888,-1328,-113
7595,736,-1460,-130
7616,944,-1172,-153
7636,12,-1420,-81
7658,520,-808,-79
7680,820,-1264,-98
,296,-1632,77
7725,332,-928,48
7745,624,-576,-95
7767,880,-1068,-143
7788,440,-936,-120
7809,536,-808,-135
7830,704,-1124,-158
7852,840,-776,-156
7872,888,-908,-150
7894,1408,-764,-107
7918,600,-632,-89
7940,824,-788,-106
7960,628,-452,-76
7982,688,-688,-39
8040,812,-660,-34
8076,788,-620,-21
8097,856,-624,-19
8118,752,-596,-26
8139,724,-684,-23
8161,676,-680,8
8181,860,-740,13
8203,596,-652,9
8223,984,-800,-8
8245,700,-672,6
8266,612,-648,20
8287,788,-776,23
8308,780,-596,30
8330,688,-616,18
8350,808,-740,31
8372,716,-608,37
8392,660,-688,59
8414,832,-720,53
8435,664,-584,74
8456,792,-688,64
8515,868,-588,61
8555,716,-652,47
8577,852,-680,70
8597,748,-620,72
8637,724,-704,52
8657,748,-604,42
8679,756,-620,90
8700,768,-756,59
8721,716,-732,52
8742,808,-688,65
8764,652,-628,49
8784,652,-680,75
8806,700,-644,43
8827,816,-632,77
8848,708,-752,46
8869,848,-736,56
8890,748,-704,64
8911,796,-696,59
8933,844,-612,56
8953,816,-660,51
9020,736,-636,66
9041,712,-700,80
9062,724,-632,60
9083,756,-660,78
9104,760,-672,61
9125,760,-640,66
9147,748,-684,63
9167,844,-728,50
9189,804,-628,72
9209,688,-608,67
9231,796,-604,59
9252,5172,-20808,-959
9277,6824,-8068,398
9311,-752,3456,13
9331,928,1904,246
9353,280,260,125
9374,1416,-1488,283
9395,-188,1068,254
9416,188,524,309
9438,344,164,256
9496,604,280,291
9517,996,-344,270
9538,720,-56,265
9560,1008,168,246
9580,1100,-448,235
9602,1112,-884,198
9623,1044,-1124,201
9644,648,-820,188
9665,620,-340,195
9687,776,-548,191
9707,832,-684,169
9729,760,-752,161
9750,908,-816,157
9771,692,-484,127
9792,784,-400,130
9814,820,-700,108
9834,768,-708,111
9856,796,-744,97
9877,720,-552,92
9901,784,-420,81
9959,752,-644,58
9980,784,-592,71
10001,864,-548,52
10022,764,-596,67
10043,804,-688,66
10064,828,-700,86
10086,796,-536,67
10106,776,-640,54
10128,756,-604,41
10149,780,-620,63
10170,836,-580,57
10191,892,-548,73
10212,812,-660,62
10233,828,-704,39
10255,844,-660,79
10275,932,-600,64
10297,804,-584,86
10318,860,-632,61
10339,796,-684,76
10360,788,-612,70
10419,784,-512,67
10440,784,-600,62
10461,848,-688,59
10482,788,-552,78
10504,844,-640,55
10524,688,-632,55
10560,740,-660,72
10582,736,-548,47
10603,784,-652,63
10624,816,-600,56
10645,828,-744,52
10667,828,-660,35
10687,772,-576,67
10708,788,-688,58
10730,776,-576,54
10750,876,-560,83
10772,760,-652,63
10792,684,-576,40
10814,788,-684,77
10835,596,-644,44
10893,820,-736,87
10914,748,-548,56
10936,768,-676,60
10956,824,-624,66
10978,648,-616,51
10999,704,-592,48
11020,844,-636,59
11041,736,-536,63
11062,672,-584,82
11083,764,-644,59
11105,800,-568,70
11125,724,-560,45
11147,712,-568,64
11170,800,-640,70
11192,704,-488,56
11213,768,-612,67
11234,752,-560,55
11255,792,-612,60
11276,796,-548,64
11297,724,-588,60
11356,840,-564,73
11377,716,-560,73
11398,968,-676,59
11419,744,-564,51
11441,800,-680,81
11461,732,-716,78
11483,752,-520,63
11504,764,-552,64
11525,812,-640,71
11546,740,-672,51
11567,772,-588,72
11588,804,-568,73
11610,628,-2068,37
11630,376,-1160,115
11652,2264,-1572,176
11673,1144,-448,97
11695,96,-1196,73
11715,1028,-1020,121
