time,AcX,AcY,GyZ
1598,40,-532,70
1618,100,-432,59
1640,108,-252,16
1660,96,-796,66
1682,136,28,98
1702,132,-492,57
1724,152,-540,69
1745,12,-228,52
1766,48,-660,47
1787,172,-232,46
1808,48,-428,32
1829,12,-700,80
1850,156,-248,102
1871,-8,-356,72
1892,-136,-224,40
1913,-16,-368,47
1934,76,-744,59
1955,20,-208,65
1976,36,-380,34
2042,72,-508,68
2063,24,-368,80
2084,36,-300,59
2105,-28,-628,77
2126,112,-288,61
2147,52,-376,43
2168,-52,-460,71
2190,72,-200,64
2210,-52,-92,11
2232,100,-836,20
2255,4,-220,131
2277,192,-176,36
2297,236,-1160,126
2327,-28,-20,184
2348,-16,-672,162
2369,-28,-308,232
2390,64,-428,249
2411,28,-592,284
2433,16,-408,340
2453,-24,-496,411
2475,244,-776,417
2535,260,-752,575
2555,-160,-540,637
2577,-52,-640,719
2598,-16,-624,793
2619,220,-580,856
2640,36,-424,910
2661,-120,-448,952
2682,72,-520,985
2704,-32,-624,1049
2724,308,-572,1112
2746,-56,-636,1186
2767,92,-440,1233
2788,332,-904,1247
2809,156,-508,1345
2830,96,-480,1353
2851,0,-628,1358
2876,-104,-360,1372
2896,-112,-100,1352
2918,-116,-768,1308
2939,-152,-908,1356
2960,192,-492,1411
2981,-144,-456,1387
3039,152,-928,1498
3059,1464,-484,1483
3081,656,-1188,1486
3101,-308,-692,1479
3123,-164,-788,1552
3144,536,-752,1571
3165,408,-724,1592
3186,144,-704,1622
3208,176,-728,1593
3228,320,-880,1592
3250,264,-684,1587
3271,200,-600,1525
3292,232,-600,1542
3313,164,-744,1506
3335,280,-388,1456
3355,212,-612,1407
3377,144,-472,1387
3397,-72,-228,1338
3419,240,-404,1290
3443,124,-700,1263
3465,132,-612,1284
3520,292,-608,1171
3542,168,-492,1143
3571,272,-692,1113
3593,224,-404,1080
3613,196,-540,1024
3635,300,-500,1002
3655,236,-528,1005
3677,208,-556,968
3698,272,-508,918
3719,268,-572,925
16194,560,1940,-2
16216,-420,-260,-104
16237,100,-1124,-175
16259,200,-1276,-120
16279,-256,-664,-125
16301,144,-692,-65
16322,44,-1356,-64
16343,-36,-956,15
16364,-76,-872,124
16385,160,-720,168
16406,188,-568,132
16428,176,-360,96
16493,404,-268,95
16515,0,-260,86
16539,4,-560,68
16561,76,-648,56
16581,120,-464,60
16603,40,-624,56
16623,136,-600,48
16645,76,-524,70
16665,112,-588,81
16687,80,-508,55
16708,12,-568,54
16729,124,-536,52
16750,24,-608,67
16771,84,-536,80
16792,96,-516,56
16814,148,-496,55
16834,116,-476,53
16856,120,-440,49
16876,204,-476,61
16898,76,-496,49
16919,80,-576,65
16974,152,-516,55
16996,16,-544,54
17017,176,-524,80
17038,60,-572,55
17059,64,-560,57
17080,48,-548,77
17101,-1392,-1512,183
17123,316,-1368,225
17146,-312,-400,406
17168,-16,-300,478
17189,-248,-984,658
17210,-288,-500,858
17240,-176,-148,887
17261,332,-668,747
17282,812,-904,457
17303,748,-228,89
17325,852,-132,-494
17345,1156,-540,-1049
17367,1300,-740,-1564
17388,1180,-496,-2180
17410,1128,-316,-2905
17430,1472,-668,-3680
17487,1624,-484,-5952
17509,1356,-644,-6875
17530,1624,-696,-7832
17552,1904,-880,-8857
17573,1908,-1024,-9869
17594,1660,-1104,-10837
17615,1608,-1008,-11830
17637,1664,-1136,-12816
17658,1600,-1552,-13748
17683,1552,-1468,-14822
17704,1892,-1600,-15835
17726,1804,-1900,-16810
17746,1496,-2156,-17675
17768,1420,-1816,-18522
17789,1372,-1872,-19349
17811,1484,-2512,-20140
17832,1568,-2648,-20868
17854,1504,-2508,-21669
17874,1592,-2560,-22480
17896,1872,-2996,-23401
17917,1804,-3384,-24315
17974,2020,-3816,-27026
17996,2004,-4204,-28024
18017,1724,-4384,-28908
18038,1488,-4568,-29660
18060,1392,-4588,-30409
18081,1620,-4812,-31149
18103,1704,-5048,-31981
18124,1948,-5480,-32768
18145,1660,-5928,-32768
18169,1928,-6112,-32768
18191,1736,-6500,-32768
18212,1288,-6572,-32768
18234,804,-6192,-32768
18255,1384,-6292,-32768
18276,564,-8248,-32768
18297,-288,-7580,-32768
18319,-24,-7096,-32768
18340,-444,-6308,-32768
18362,960,-6024,-32768
18383,440,-6476,-32768
18405,876,-7136,-32768
18425,-272,-6608,-32768
18483,116,-6324,-32768
18512,156,-6320,-32768
18534,96,-6300,-32768
18555,-340,-6588,-32768
18577,-180,-6392,-32768
18597,-220,-6224,-32768
18619,212,-6236,-32768
18640,40,-6336,-32768
18665,108,-6308,-32768
18686,-172,-6056,-32768
