time,AcX,AcY,GyZ
1794,60,-460,893
1839,360,-728,999
1882,436,-532,938
1927,124,-500,921
1948,232,-408,937
1969,188,-444,980
1990,148,-228,964
2053,160,-392,978
2074,300,-368,928
2095,180,-416,917
2116,144,-508,896
2138,264,-344,884
2158,180,-468,845
2180,184,-316,820
2200,160,-332,790
2222,176,-428,774
2242,208,-424,763
2264,316,-368,729
2285,208,-412,704
2306,144,-388,676
2327,316,-396,667
2348,208,-420,656
2369,148,-436,614
2391,292,-416,605
2411,152,-432,580
2433,152,-416,570
2453,100,-316,550
2478,212,-404,516
2542,132,-396,445
2563,180,-376,423
2584,264,-436,407
2605,208,-428,416
7041,572,1692,377
7061,760,436,48
7083,120,-1532,18
7111,-24,-832,57
7133,8,-604,108
7153,104,-804,176
7175,8,-616,187
7195,-100,-396,157
7217,352,-404,161
7238,-80,-400,106
7259,16,-540,83
7280,-84,-488,99
7301,312,-504,99
7322,-32,-632,102
7344,164,-284,109
7364,152,-568,44
7386,20,-436,53
7443,232,-280,69
7463,36,-392,54
7485,20,-336,68
7505,84,-416,66
7527,272,-420,73
7548,-52,-356,76
7572,12,-388,48
7593,24,-336,60
7614,96,-372,66
7635,-16,-368,66
7656,-16,-348,51
7677,56,-360,71
,72,-392,66
7723,12,-376,60
7743,40,-384,62
7764,68,-356,84
7785,68,-400,67
7806,40,-336,80
7827,4,-316,59
7848,-12,-296,59
7869,20,-328,60
7926,80,-380,55
7948,56,-380,72
7968,188,-256,64
7990,-36,-452,56
8011,184,-332,72
8032,176,-432,68
8053,84,-336,61
8074,120,-336,50
8095,24,-348,53
8116,84,-372,77
8137,108,-464,70
8158,84,-488,74
8179,8,-364,45
8200,80,-364,55
8221,-72,-344,76
8240,72,-416,63
8261,48,-404,69
8282,44,-308,54
8303,72,-368,61
8335,72,-304,66
8356,140,-380,57
8414,112,-320,68
8434,84,-364,80
8456,60,-416,39
8476,160,-452,71
8498,124,-388,54
8518,56,-392,66
8540,12,-408,53
8560,144,-432,48
8582,124,-460,67
8602,64,-440,65
8624,88,-448,80
8645,80,-340,67
8666,-24,-436,81
8687,92,-368,60
8708,100,-344,70
8729,24,-376,68
8750,-32,-420,51
8771,96,-312,75
8792,160,-344,67
8813,152,-376,72
8835,36,-436,60
8892,116,-384,63
8912,12,-392,72
8937,164,-384,55
