time,AcX,AcY,GyZ
226,140,-180,128
269,68,-216,96
301,256,-664,40
321,248,-804,57
343,32,-96,51
363,252,-376,22
385,328,-624,36
405,172,-432,44
427,124,-244,57
448,116,-388,43
468,84,-592,65
489,200,-452,57
510,84,-428,54
531,76,-416,40
552,180,-456,58
573,196,-440,67
594,140,-332,75
615,176,-420,77
636,196,-516,56
706,200,-408,55
728,228,-436,57
749,88,-504,48
770,164,-488,75
790,164,-416,45
812,192,-524,43
832,84,-364,85
854,100,-496,65
874,120,-448,65
896,144,-468,70
917,108,-524,55
941,96,-368,74
962,236,-496,84
983,196,-480,61
1004,192,-416,72
1025,168,-440,58
1046,140,-544,47
1067,196,-380,66
1088,128,-416,53
1108,84,-404,46
1130,184,-348,63
1150,124,-428,57
1208,72,-412,54
1229,84,-484,64
1258,168,-436,58
1278,100,-488,59
1300,56,-356,54
1321,100,-472,55
1342,120,-516,54
1363,172,-396,44
1384,160,-364,51
1405,220,-332,57
1426,124,-448,58
1447,164,-528,59
1468,144,-396,55
1489,160,-452,76
1511,192,-432,56
1531,164,-376,67
1553,256,-464,65
1573,156,-456,60
1598,264,-424,51
1618,108,-404,87
1640,116,-460,46
1660,116,-532,74
1718,176,-424,58
1738,92,-436,55
1760,92,-444,45
1780,88,-460,87
1802,120,-472,50
1823,188,-476,48
1844,184,-420,64
1865,132,-400,59
1886,44,-228,79
1907,248,-568,65
1928,308,-916,106
1949,244,-364,181
1970,8,-456,143
1991,120,-496,172
2012,72,-436,210
2033,220,-340,224
2055,-4,-440,218
2075,116,-764,251
2097,268,-808,294
2117,-28,-432,280
2139,160,-444,253
2160,92,-424,244
2216,160,-396,129
2238,160,-340,74
2262,100,-324,32
2283,160,-476,-22
2304,72,-640,8
2325,48,-448,13
2345,116,-560,65
2367,244,-560,100
2388,-224,-16,166
2409,-272,-240,1903
2430,96,-2188,1059
2459,44,-216,346
2481,-76,-348,193
2502,156,-320,103
2523,320,-400,308
2544,220,-552,295
2565,256,-392,264
2586,140,-248,250
2608,112,-408,284
2628,-80,-228,331
2650,84,-724,456
2670,328,-568,420
2727,24,-520,642
2749,152,-108,503
2769,220,-496,590
2791,352,-620,629
2812,64,-1212,727
2833,76,-744,586
2854,-20,-484,557
2876,24,-20,521
2894,116,-704,523
2916,192,-688,581
2936,28,-508,573
2958,184,-684,569
2978,160,-516,584
3000,164,-496,537
3021,104,-492,500
3042,244,-560,483
3063,208,-716,485
3084,264,-1524,241
3105,88,-1080,90
3127,8,40,428
3147,188,-728,519
