time,AcX,AcY,GyZ
817,1728,-1220,39
838,1344,-764,104
859,1548,212,695
880,964,-376,162
901,1456,-452,85
922,3040,2528,39
957,1432,-820,-12
978,1068,5600,280
1000,-484,-4260,115
1021,1328,1972,-9
3148,2020,1276,526
3189,1500,-1676,184
3211,1520,-492,199
3231,1428,-672,174
3253,1496,-728,172
3274,1260,-1208,89
3295,1548,-756,12
3316,1512,-820,42
3337,948,-548,-1
3358,1328,-680,9
3379,2288,-1456,-41
3400,1564,-532,60
3422,1092,-788,69
3442,1284,-544,48
3464,1392,-572,49
3484,1264,-644,39
3509,1244,-384,49
3530,940,-372,43
3551,1004,-148,67
3572,1300,-396,101
3593,1336,-200,67
3614,1360,-564,67
3687,1264,-412,67
3708,1232,-196,97
3730,1080,-560,71
3750,784,-544,95
3772,1080,-496,45
3792,1120,-460,44
3814,344,-524,90
,824,-308,57
3859,896,-280,67
3879,1192,-476,53
3901,732,-424,53
3921,884,-612,57
3943,856,-344,77
3963,992,-556,73
3985,992,-304,70
4005,984,-504,46
4027,996,-328,65
4048,900,-428,75
4069,864,-304,65
4090,904,-428,71
4111,1040,-396,100
4132,928,-508,74
4194,1028,-432,66
4215,960,-392,44
4236,916,-444,68
4257,892,-416,70
4279,944,-372,68
4308,1008,-352,81
4329,840,-368,55
4350,960,-428,55
4371,972,-272,64
4392,872,-348,50
4413,920,-380,68
4434,888,-496,62
4455,932,-328,39
4476,1036,-380,67
4497,852,-324,63
4518,840,-344,68
4540,904,-324,73
4560,972,-396,61
4582,884,-428,64
4602,1068,-356,57
4624,908,-424,68
4644,916,-420,56
4703,904,-328,73
4724,800,-432,69
4746,912,-324,51
4766,900,-448,54
4788,1000,-384,73
4808,936,-420,67
4833,888,-380,53
4853,1044,-408,77
4875,924,-428,85
4895,908,-400,60
4917,972,-408,57
4937,980,-428,71
4959,1024,-424,78
4980,868,-356,45
5001,848,-368,59
5022,1004,-320,60
5043,1020,-300,90
5064,968,-372,55
5085,896,-456,64
5106,996,-416,71
5128,996,-388,74
5148,984,-400,51
5207,968,-376,37
5227,816,-460,61
5249,1056,-332,49
5269,948,-324,59
5291,900,-400,65
5311,908,-432,74
5332,904,-324,44
5353,928,-340,64
5374,868,-372,51
5395,896,-392,79
5416,948,-316,61
5438,968,-384,55
5462,928,-428,56
5483,920,-332,66
5513,996,-432,53
5533,940,-344,61
5555,916,-352,53
5576,1020,-316,69
5597,944,-436,62
5618,872,-464,57
5639,1032,-328,81
5660,892,-372,43
5718,976,-428,54
5739,912,-384,51
5760,904,-364,57
5781,932,-308,53
5801,884,-428,47
5823,948,-376,67
5844,932,-416,70
5865,948,-376,76
5886,892,-388,82
5907,932,-420,62
5928,992,-276,58
5949,884,-376,50
5970,924,-244,66
5991,920,-408,57
6012,972,-408,46
6034,932,-400,63
6054,940,-420,73
6076,932,-292,64
6096,888,-388,52
6121,1056,-368,57
6141,980,-492,24
6163,920,-396,15
6220,948,-400,-89
