time,AcX,AcY,GyZ
2948,760,268,188
2968,-2868,-436,316
2990,848,-1708,151
3011,904,-1076,139
3032,888,-996,172
3053,960,-1308,164
3075,1100,-1176,181
3095,764,-1092,113
3117,908,-1172,103
3138,1184,-940,72
3159,868,-1228,48
3180,916,-1060,-6
3201,1032,-1032,15
3269,996,-792,-123
3292,1432,-880,-106
3312,760,-892,-105
3334,872,-612,-77
3354,900,-660,-77
3376,884,-920,-71
3397,992,-784,-60
3418,1188,-1012,-69
3439,928,-800,-35
3460,980,-576,-53
3481,828,-656,-34
3503,1020,-708,-35
3523,936,-652,-21
3548,1144,-696,-18
3569,1032,-716,-2
3590,1084,-740,2
3620,860,-144,-17
3641,1208,-1280,37
3662,936,-500,-7
3732,1116,-628,13
3752,992,-752,-2
3774,1028,-624,14
3794,976,-764,16
3816,1012,-608,16
3837,1004,-668,24
3858,1104,-724,13
3879,984,-528,28
3900,960,-732,28
3921,972,-692,33
3943,1060,-600,46
3963,1008,-732,22
3985,908,-772,55
4005,932,-580,46
4027,1020,-624,60
4048,1036,-744,66
4069,1064,-708,61
4090,1040,-708,59
4111,944,-740,45
4171,1076,-664,59
4193,1004,-604,46
4217,1004,-776,54
4238,996,-764,52
4259,908,-756,56
4280,1016,-660,61
4301,1020,-720,80
4322,1080,-660,67
4343,932,-736,52
4365,1036,-628,64
4385,968,-664,64
4407,1024,-648,62
4427,1028,-700,63
4449,1016,-700,55
4469,1004,-520,55
4491,1064,-608,68
4512,936,-712,51
4533,1128,-708,68
4554,1020,-632,51
4615,1060,-668,61
4636,1048,-596,65
4657,960,-696,78
4678,1064,-720,71
4699,992,-544,75
4720,996,-628,37
4742,996,-524,55
4762,1140,-728,55
4784,972,-576,50
4804,956,-572,68
4826,988,-784,57
4850,980,-616,61
4879,1068,-548,48
4900,1012,-748,72
4922,1064,-692,73
4942,1004,-688,48
4964,1012,-616,50
4984,952,-612,68
5006,1056,-600,61
5067,1004,-608,38
5088,980,-692,61
5109,1016,-672,48
5130,1044,-580,57
5151,976,-744,61
5173,1020,-524,73
5193,1096,-732,77
5215,1044,-712,74
5235,1012,-680,50
5257,1036,-660,60
5278,1080,-660,65
5299,956,-676,47
5320,988,-644,75
5341,912,-664,78
5362,920,-700,68
5383,1004,-648,69
5404,952,-640,44
5426,992,-556,53
5446,1024,-552,63
5510,1052,-600,19
5531,996,-636,31
5553,1048,-548,-5
5573,916,-648,-29
5595,764,-692,-27
5615,824,-672,-44
5637,1076,-756,-44
5658,920,-724,-48
5679,600,-556,21
5700,956,-592,113
5721,1188,-580,107
5742,1380,-460,102
5763,1184,-564,44
5784,1440,-560,-64
5806,996,-628,-107
5826,860,-704,-62
5848,848,-664,42
5868,720,-656,161
5890,784,-552,269
5951,492,-672,808
5971,252,-672,1176
5993,188,-592,1615
6014,80,-616,2208
6035,-104,-628,2817
6056,-12,-584,3444
6078,44,-708,4085
6098,-100,-760,4732
6136,-4,-744,5747
6157,128,-780,6323
6178,64,-856,6845
6199,84,-908,7340
6220,196,-1044,7858
6242,192,-872,8377
6262,144,-944,8870
6284,36,-1000,9396
6305,188,-1152,9907
6326,48,-1068,10457
6347,176,-1196,10939
6408,184,-1232,12267
6429,132,-1448,12748
6451,192,-1560,13259
6471,108,-1544,13760
6493,0,-1572,14329
6514,84,-1616,14905
6535,-100,-1800,15465
6556,-144,-1824,16060
6578,-104,-1844,16688
6598,-180,-2084,17297
6620,-60,-2268,17884
6641,-104,-2228,18514
6663,68,-2288,19119
6686,60,-2548,19738
6708,136,-2456,20257
6729,100,-2720,20708
6750,232,-2624,21114
6771,512,-2776,21469
6793,728,-3004,21742
6854,868,-2812,21731
6875,860,-2868,21701
6896,700,-2688,21687
6918,880,-2864,21657
6938,948,-2904,21593
6960,972,-2988,21549
6981,864,-2812,21504
7002,968,-2800,21445
7023,1012,-2748,21432
7045,1024,-2740,21392
7066,944,-2592,21348
7087,940,-2672,21323
7108,896,-2640,21264
7130,888,-2676,21233
7151,940,-2688,21150
7172,928,-2628,21111
7193,872,-2796,21069
7218,936,-2860,21053
7239,844,-2652,21013
7300,1052,-2636,20883
7321,1052,-2504,20841
7342,984,-2504,20778
7375,924,-2532,20714
7397,872,-2508,20659
7418,868,-2560,20614
7439,936,-2644,20536
7460,1028,-2504,20488
7482,1104,-2608,20442
7503,828,-2416,20387
7524,932,-2496,20344
7545,948,-2652,20290
7567,1000,-2408,20253
7588,900,-2540,20230
7609,1008,-2484,20172
7630,920,-2404,20160
7652,1088,-2384,20089
7673,952,-2536,20047
7694,956,-2424,19966
7754,1124,-2244,19863
7776,1008,-2524,19810
7800,1000,-2336,19787
7822,932,-2288,19752
7842,1016,-2276,19713
7864,1080,-2276,19676
7885,960,-2344,19635
7907,1004,-2360,19587
7928,1088,-2344,19551
7949,964,-2336,19522
7970,1120,-2324,19470
7992,1132,-2376,19417
8012,1032,-2388,19386
8034,912,-2368,19376
8055,1000,-2464,19347
8077,1144,-2324,19320
8097,1108,-2356,19273
8119,1140,-2144,19225
8140,1044,-2308,19221
8201,1012,-2412,19090
8222,1156,-2240,19067
8244,1144,-2236,19029
8265,1144,-2280,19019
8286,1036,-2236,18951
8310,1048,-2288,18925
8332,1008,-2252,18898
8353,1164,-2216,18886
8374,1056,-2228,18829
8395,1028,-2172,18827
8417,984,-2196,18784
8438,1140,-2240,18753
8459,1068,-2212,18730
8480,1116,-2364,18718
8502,936,-2260,18704
8523,1020,-2136,18668
8544,1072,-2272,18673
8578,1060,-2296,18611
8599,996,-2308,18629
8660,1024,-2064,18559
8681,924,-2288,18523
8702,1032,-2284,18544
8724,1056,-2324,18495
8745,972,-2228,18478
8766,1036,-2248,18471
8787,1016,-2168,18442
8809,984,-2272,18446
8830,964,-2164,18431
8855,940,-2268,18405
8876,952,-2216,18362
8897,1024,-2320,18391
8919,1164,-2244,18332
8939,1088,-2232,18336
8961,852,-2172,18329
8982,868,-2184,18303
9004,924,-2252,18295
9024,948,-2236,18267
9046,1004,-2240,18275
9106,944,-2180,18222
9127,932,-2084,18202
9148,948,-2280,18209
9169,976,-2080,18195
9191,1028,-2352,18162
9212,936,-2100,18136
9233,1088,-2216,18108
9254,1044,-2216,18077
9276,964,-2140,18033
9296,952,-2140,18010
9318,992,-2172,17975
9339,792,-2160,17923
9360,960,-2080,17884
9384,972,-2128,17833
9406,924,-2144,17782
9427,892,-2120,17775
9448,1024,-2116,17723
9469,1068,-2096,17658
9491,972,-2112,17628
9551,940,-2016,17512
9573,956,-1900,17477
9594,860,-2060,17427
9616,860,-1988,17378
9636,820,-2048,17366
9658,872,-1936,17308
9679,968,-2024,17272
9701,884,-1956,17227
9721,876,-1872,17214
9743,908,-1988,17170
9764,1060,-1928,17124
9786,960,-2124,17072
9819,824,-1980,16978
9840,908,-1848,16951
9862,1056,-1936,16931
9883,932,-1796,16879
9904,772,-1840,16820
9928,932,-1876,16793
9950,1000,-2024,16722
10010,896,-1820,16570
10032,920,-1792,16546
10053,1040,-1736,16499
10075,1068,-1916,16448
10095,824,-1796,16425
10117,1000,-1756,16393
10138,984,-1756,16366
10160,984,-1736,16316
10181,1028,-1836,16260
10202,912,-1684,16247
10223,1028,-1776,16192
10245,1064,-1900,16150
10266,1020,-1792,16112
10287,1040,-1736,16041
10308,988,-1800,16033
10330,1056,-1768,15967
10351,972,-1736,15941
10372,1028,-1752,15906
10393,912,-1760,15854
10455,944,-1668,15756
10479,1016,-1616,15732
10500,1160,-1704,15698
10521,1208,-1656,15629
10543,1036,-1612,15598
10564,988,-1664,15571
10586,984,-1608,15524
10606,1068,-1712,15479
10628,1168,-1760,15435
10649,972,-1592,15389
10671,1028,-1676,15329
10691,1028,-1632,15307
10713,1028,-1616,15240
10734,1060,-1536,15227
10756,1036,-1764,15171
10777,972,-1560,15119
10798,1044,-1632,15108
10819,1128,-1684,15052
10841,1000,-1672,15005
10901,1140,-1528,14897
10923,996,-1600,14883
10944,1152,-1712,14819
10969,1004,-1696,14784
10990,1076,-1528,14751
11011,1080,-1576,14698
11044,1052,-1544,14627
11066,1028,-1584,14589
11087,1012,-1620,14539
11109,1028,-1624,14489
11130,1076,-1484,14461
11151,1148,-1652,14413
11172,1044,-1492,14383
11194,1104,-1532,14332
11215,1116,-1376,14311
11237,1136,-1648,14271
11258,992,-1620,14254
11279,1028,-1560,14219
11300,1160,-1572,14184
11362,996,-1572,14114
11383,1024,-1548,14063
11405,1008,-1452,14025
11425,1096,-1560,13999
11447,1068,-1724,13995
11468,1024,-1504,13973
11493,976,-1484,13922
11514,1028,-1580,13945
11536,1040,-1528,13908
11556,1008,-1512,13848
11578,996,-1552,13869
11599,1040,-1520,13809
11621,952,-1464,13829
11641,928,-1408,13773
11663,1032,-1568,13797
11684,1044,-1464,13749
11706,960,-1552,13743
11727,1072,-1420,13668
11748,1104,-1484,13649
11809,996,-1580,13569
11831,992,-1432,13495
11851,988,-1428,13626
11873,1016,-1572,13610
11894,936,-1436,13497
11916,1008,-1560,13529
11936,1040,-1552,13536
11958,1024,-1492,13513
11979,960,-1488,13367
12004,1008,-1360,13321
12025,936,-1644,13381
