time,AcX,AcY,GyZ
6674,2176,-160,545
6696,464,-2912,282
6718,-776,-1312,95
6740,12,-1024,165
6762,40,-1016,134
6784,60,-940,142
6805,-64,-1048,88
6828,60,-964,43
6849,-136,-1008,52
6871,352,-1328,86
6893,24,-996,89
6915,40,-1020,68
6936,84,-1128,73
7002,-232,-520,109
7024,372,-904,136
7046,-532,-696,181
7067,-360,76,137
7090,-500,-528,84
7111,236,-460,48
7133,-160,-140,40
7155,-16,-680,28
7177,-328,-536,83
7198,-92,-624,92
7229,-68,-344,31
7250,-44,-820,75
7272,-80,-68,79
7293,44,-632,59
7319,292,-536,89
7341,56,-496,80
7362,40,-508,74
7384,36,-596,77
7405,-52,-520,58
7428,24,-672,71
7492,0,-616,64
7514,64,-592,73
7535,44,-580,51
7558,12,-464,50
7579,256,-520,55
7601,192,-664,51
7622,168,-544,70
7645,44,-576,74
7666,44,-560,60
7688,24,-612,84
7709,24,-520,86
7732,12,-572,53
7753,-76,-532,55
7775,-24,-608,62
7796,36,-584,58
7818,72,-548,75
7840,40,-568,75
7862,48,-492,75
7883,-76,-664,55
7905,52,-580,55
7963,80,-600,44
7986,-4,-532,75
8007,-72,-544,61
8029,8,-568,61
8053,16,-516,62
8075,-16,-592,78
8097,16,-616,48
8119,-200,-588,57
8140,88,-596,46
8162,48,-596,68
8183,84,-612,67
8206,92,-560,58
8227,12,-572,51
8249,44,-540,58
8270,68,-616,79
8292,52,-520,71
8314,20,-556,77
8336,44,-480,88
8357,64,-596,71
8379,-20,-688,89
8438,-112,-592,64
8460,-12,-596,69
8482,92,-468,47
8513,-28,-596,69
8536,-20,-568,64
8557,32,-488,73
8579,64,-576,73
8600,-92,-576,74
8622,-8,-660,74
8644,144,-652,78
8666,-36,-544,59
8687,-32,-480,66
8710,104,-568,68
8734,-28,-488,87
8756,24,-472,59
8777,-156,-376,74
8800,8,-472,66
8821,52,-632,66
8843,40,-624,61
8864,-4,-556,59
8924,60,-488,65
8945,116,-580,74
8968,56,-680,53
8989,60,-588,79
9011,16,-556,69
9032,64,-596,58
9054,-40,-568,58
9075,92,-612,53
9098,12,-496,41
9119,24,-544,53
9141,44,-480,64
9162,4,-572,64
9184,204,-584,54
9206,20,-532,55
9228,56,-664,53
9249,20,-524,70
9271,-12,-520,46
9292,120,-580,111
9315,12,-612,51
9336,144,-620,24
9396,140,-580,-204
9417,12,-572,-230
9442,-152,-368,-200
9464,-156,-588,-66
9486,28,-548,-10
9507,-200,-520,48
9530,-152,-452,169
9551,-184,-528,307
9573,-256,-648,479
9595,-348,-668,700
9617,-376,-500,977
9638,-388,-564,1295
9661,-560,-596,1661
9682,-728,-600,2090
9705,-1048,-504,2632
9726,-1124,-616,3332
9756,-1032,-700,4352
9779,-1228,-736,5176
9800,-1220,-652,6037
9823,-1292,-796,6913
9881,-1112,-960,9236
9903,-1216,-1032,9976
9925,-1228,-1212,10782
9947,-1324,-1248,11571
9969,-1340,-1352,12393
9991,-1316,-1548,13330
10016,-1356,-1632,14193
10038,-1480,-1572,15130
10060,-1444,-1884,16098
10082,-1288,-2064,17085
10104,-1136,-2232,18019
10126,-532,-2248,18715
10148,184,-2320,18959
10170,68,-2468,18957
10192,92,-2320,18876
10214,-40,-2288,18883
10235,60,-1972,18834
10258,688,-2204,18758
10279,180,-2572,18696
10302,8,-2292,18646
10361,424,-2232,18502
10383,4,-2248,18474
10404,-160,-2256,18389
10427,308,-2272,18370
10448,296,-2164,18267
10471,112,-2108,18206
10492,48,-2208,18135
10515,172,-2304,18090
10540,308,-2268,18019
10562,56,-2124,17998
10584,132,-2220,17903
10606,116,-2148,17836
10628,232,-2204,17766
10649,96,-2080,17702
10672,96,-2212,17662
10693,176,-2220,17555
10716,100,-2216,17484
10737,144,-2128,17430
10760,80,-2120,17359
10781,76,-2020,17287
10840,16,-2008,17147
10862,100,-2016,17051
10884,172,-2044,16998
10906,120,-2056,16922
10928,272,-2012,16872
10949,-28,-1952,16798
10972,112,-2072,16762
10993,-112,-2028,16690
11016,76,-1940,16655
11045,96,-2016,16569
11067,68,-2016,16511
11092,-16,-2004,16466
11114,-16,-1852,16404
11137,120,-1772,16364
11158,8,-1892,16277
11181,-108,-1920,16213
11202,144,-1864,16162
11224,0,-1892,16114
11246,48,-1784,16031
11268,-24,-1880,15996
11326,0,-1784,15801
11348,60,-1860,15749
11370,40,-1800,15685
11393,36,-1756,15612
11414,0,-1664,15569
11436,16,-1740,15480
11458,16,-1816,15429
11480,-4,-1640,15390
11502,36,-1752,15344
11524,56,-1784,15259
11545,92,-1708,15228
11568,36,-1672,15169
